,Bcell_HPCA,DC_HPCA,Fibroblasts_HPCA,MSC_HPCA,Macrophage_HPCA,Monocyte_HPCA,NK cells_HPCA,Tcell_HPCA,Adipocytes_ENCODE,CD4+ Tcell_ENCODE,CD8+ T-cells_ENCODE,Bcell_ENCODE,DC_ENCODE,Eosinophils_ENCODE,Fibroblasts_ENCODE,Macrophage_ENCODE,Monocyte_ENCODE,NK cells_ENCODE,tscore
RELB,7,8,6,5,8,8,8,6,5,7,7,8,10,8,6,7,9,7,-1.1471453797504108
CEBPD,4,9,10,9,9,10,10,7,10,1,3,1,6,8,9,8,9,8,-1.2614767933320072
STAT6,10,10,9,9,10,10,9,9,10,10,10,9,10,10,10,10,10,10,0.815912606269199
ETS2,5,8,7,8,7,9,7,6,9,5,6,1,6,7,8,6,10,1,-0.987347345584335
RUNX3,9,9,2,4,8,9,10,10,2,8,9,8,8,10,1,5,8,10,-1.3819614619163128
