,Bcell_HPCA,DC_HPCA,Fibroblasts_HPCA,MSC_HPCA,Macrophage_HPCA,Monocyte_HPCA,NK cells_HPCA,Tcell_HPCA,Adipocytes_ENCODE,CD4+ Tcell_ENCODE,CD8+ T-cells_ENCODE,Bcell_ENCODE,DC_ENCODE,Eosinophils_ENCODE,Fibroblasts_ENCODE,Macrophage_ENCODE,Monocyte_ENCODE,NK cells_ENCODE,tscore
REL,9,9,3,4,8,9,10,8,6,7,8,5,10,8,4,8,9,9,-0.8256360850395695
ELF4,9,9,9,8,9,10,10,9,6,7,7,6,9,9,7,7,9,9,-0.3306972967546521
IRF9,10,10,10,9,10,10,10,10,9,10,10,10,10,10,9,9,10,10,0.0
CREM,6,7,6,6,7,6,9,7,8,8,9,8,9,7,7,9,9,10,0.1205386866890153
ETS2,5,8,7,8,7,9,7,6,9,5,6,1,6,7,8,6,10,1,0.5616446845369375
RFX5,10,9,8,8,9,9,9,9,7,9,9,9,10,9,8,9,9,9,-1.225241717977627
