,Bcell_HPCA,DC_HPCA,Fibroblasts_HPCA,MSC_HPCA,Macrophage_HPCA,Monocyte_HPCA,NK cells_HPCA,Tcell_HPCA,Adipocytes_ENCODE,CD4+ Tcell_ENCODE,CD8+ T-cells_ENCODE,Bcell_ENCODE,DC_ENCODE,Eosinophils_ENCODE,Fibroblasts_ENCODE,Macrophage_ENCODE,Monocyte_ENCODE,NK cells_ENCODE,tscore
STAT2,8,8,8,7,8,9,7,8,10,10,10,10,10,10,10,10,10,10,1.7889995419279043
MAFB,6,10,8,7,10,10,7,6,9,1,1,1,6,1,4,9,9,1,-1.0087915967196086
IRF9,10,10,10,9,10,10,10,10,9,10,10,10,10,10,9,9,10,10,0.0
IRF8,10,10,5,5,10,10,10,8,7,5,5,9,9,6,1,10,10,10,-0.5996771531937136
RFX5,10,9,8,8,9,9,9,9,7,9,9,9,10,9,8,9,9,9,-1.2086567433070308
IRF7,9,9,7,6,8,10,9,8,6,8,8,10,9,10,6,7,9,9,0.0
