PSMB8
TRPV2
SRRM2
SLC38A6
NAT1
IL21R
GUCY1B3
PLCG2
GSN
CTSH
TLR7
DDX24
TNFAIP8
QPCT
FAS
ANK3
SYK
PTTG1
DDX60
EVI2A
PRDX6
SLAMF8
PRKCB
LPXN
ENTPD1
CLIC1
TRIM21
SEL1L3
GPR65
SAMSN1
TNS3
TXNDC9
CXCL9
CSF1R
OSBPL3
LPIN3
IFIT1
DNAJC15
AIM2
KIAA0125
LRMP
TPD52
JAK2
GZMH
ADAMDEC1
RASGRP1
CD8A
LRRC15
LY96
IL32
HLA-DOB
ALOX5
NKG7
CECR1
NMI
GZMB
RFTN1
SIRPG
TAPBPL
SMCO4
UCP2
AKAP1
SEMA4D
GZMA
DENND1B
NAGA
GZMK
CCL18
TNFAIP6
TNFSF10
SDC1
PTPRC
GALNT6
LCK
MGAT4A
DRAM1
FKBP11
S100A8
ECE1
AREL1
OPN3
TRAF3IP3
SYNGR2
COMMD8
CD38
C1GALT1C1
PLEKHO1
LEPROTL1
IL2RG
