SPRED2
TRAF1
TAPBP
PPIL4
HLA-B
CCL21
KIAA1109
P2RY10
SMG7
BCL2L15
PSMB8
MECP2
RTKN2
MMP9
HMOX1
CDK2
LY6G6C
RCOR1
CD5
HLA-DMA
TGFB1
PDE2A
FCGR2B
IL2RA
SPP1
CD14
NCF2
VIM
KIF5A
LBH
FCRL3
FNDC1
PADI3
RAD51B
GPX3
ICOSLG
CXCL13
DOK6
SAG
RCAN1
CFLAR
NFKBIA
IL17A
CDK5RAP2
FAS
SWAP70
TNFRSF14
CSF3
TXNDC11
PXK
PADI2
CAT
COG6
IL15
TNF
NGF
ANKRD55
CSNK2B
TNFRSF1B
PXT1
GSDMB
IL2
CYP3A4
ILF3
LOC100506023
BCL3
SYNGR1
FADS3
PUS10
CLNK
PRKCB
PRKCQ
TLR4
FADS2
CEP57
CLIC1
LPP
LOC145837
FLNB
CCL5
C5
CFB
CCR6
PADI1
JAZF1
SH2B3
CD226
CCR5
IL23R
CD19
ARAP1
IL4
PLD4
IFNG
IL1B
IL2RB
CTLA4
CXCR3
FAM107A
IL6R
IL18
HLA-A
NFKBIE
AFF3
ABCB1
AGBL2
HLA-DQB1
GATSL3
PLCL2
LY6G5C
WDFY4
PRRC2A
UBASH3A
C5orf30
AHNAK2
JAK3
CCL19
PADI4
ICAM1
CCL27
C1QBP
VTCN1
IL10
LY6G6F
PTPN11
TNPO3
HLA-DRB1
FCGR2A
FADS1
SAA1
TEC
ALB
DHODH
CCR7
APOM
IL6
TPD52
PTPN22
PRMT1
DPP4
IL21
NOTCH4
TAGAP
IL1A
HLA-DPB1
IFNGR2
RASGRP1
HSPD1
ATM
IGF1
IL13
HLA-DOB
IKZF3
CALCR
CXCR4
TRAF6
LTA
HLA-DQA1
CXCR5
ATG5
DDX6
CD80
ZNF438
SLAMF6
HSPA14
COMP
CD40
MICA
AIF1
PRKCH
CLEC16A
ANXA3
C2
UBE2L3
GGT6
TAP1
CCL2
CXCL16
IQGAP1
PAPOLG
BAX
ICOS
PIP4K2C
CCL20
GPANK1
TYK2
IL19
PTPRC
YDJC
CD84
PADI6
ZMIZ1
PANK4
NFKBIL1
CASP8
CELF2
CSF2
IL20RA
MSH5
MMEL1
FGFR1OP
HLA-C
ANXA6
IL1RN
CD83
HLA-DPA1
BLK
FAM167A
ISG20
VEGFA
CXCL10
IL6ST
IL11RA
IRAK1
ACOXL
CARD8
CDK6
HLA-DMB
TAP2
TNFAIP3
CD28
DCLRE1C
FCGRT
BAG6
LST1
BAD
MBL2
CD2
PSMB9
PTPN2
