	Bcell_HPCA	DC_HPCA	Fibroblasts_HPCA	MSC_HPCA	Macrophage_HPCA	Monocyte_HPCA	NK cells_HPCA	Tcell_HPCA	Adipocytes_ENCODE	CD4+ Tcell_ENCODE	CD8+ T-cells_ENCODE	Bcell_ENCODE	DC_ENCODE	Eosinophils_ENCODE	Fibroblasts_ENCODE	Macrophage_ENCODE	Monocyte_ENCODE	NK cells_ENCODE
ABCA11P	6.0	3.0	4.0	4.0	3.0	3.0	3.0	4.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
ABCA12	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ABCA13	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	8.0	1.0	1.0	2.0	1.0
ABCA17P	5.0	5.0	4.0	4.0	5.0	5.0	5.0	5.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
ABCA2	5.0	6.0	6.0	5.0	5.0	5.0	6.0	6.0	7.0	7.0	8.0	6.0	6.0	8.0	7.0	6.0	5.0	10.0
ABCA3	6.0	6.0	6.0	5.0	6.0	6.0	7.0	6.0	5.0	4.0	3.0	1.0	6.0	1.0	1.0	2.0	1.0	6.0
ABCA4	4.0	4.0	3.0	3.0	4.0	4.0	4.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ABCA5	7.0	7.0	7.0	6.0	7.0	5.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	9.0	7.0	7.0	6.0	8.0
ABCA6	4.0	5.0	3.0	1.0	3.0	2.0	1.0	1.0	10.0	1.0	1.0	3.0	7.0	1.0	7.0	2.0	2.0	1.0
ABCA7	8.0	7.0	5.0	5.0	6.0	8.0	7.0	8.0	6.0	9.0	9.0	10.0	8.0	10.0	5.0	7.0	8.0	9.0
ABCA8	1.0	1.0	6.0	5.0	1.0	1.0	1.0	1.0	9.0	1.0	1.0	1.0	1.0	1.0	7.0	1.0	1.0	1.0
ABCA9	2.0	2.0	4.0	2.0	2.0	2.0	2.0	2.0	9.0	1.0	1.0	1.0	5.0	1.0	5.0	1.0	1.0	1.0
ABCB1	4.0	2.0	1.0	2.0	2.0	3.0	9.0	7.0	4.0	6.0	8.0	4.0	5.0	1.0	1.0	1.0	1.0	9.0
ABCB10	7.0	8.0	8.0	8.0	9.0	8.0	9.0	8.0	7.0	7.0	7.0	7.0	9.0	8.0	7.0	8.0	7.0	7.0
ABCB11	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ABCB4	7.0	4.0	3.0	4.0	4.0	3.0	2.0	3.0	1.0	1.0	1.0	7.0	6.0	1.0	1.0	3.0	1.0	1.0
ABCB5	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ABCB6	7.0	7.0	7.0	7.0	6.0	6.0	6.0	7.0	7.0	5.0	5.0	6.0	6.0	1.0	8.0	5.0	2.0	1.0
ABCB7	9.0	9.0	7.0	8.0	9.0	9.0	8.0	9.0	8.0	8.0	8.0	8.0	8.0	7.0	7.0	8.0	9.0	8.0
ABCB8	5.0	5.0	6.0	5.0	6.0	5.0	5.0	6.0	8.0	8.0	8.0	8.0	6.0	8.0	8.0	8.0	7.0	8.0
ABCB9	5.0	4.0	4.0	5.0	5.0	5.0	4.0	5.0	2.0	5.0	3.0	3.0	1.0	1.0	6.0	5.0	2.0	1.0
ABCC1	8.0	9.0	9.0	9.0	10.0	9.0	8.0	9.0	7.0	8.0	8.0	8.0	8.0	10.0	8.0	8.0	8.0	7.0
ABCC10	7.0	8.0	8.0	9.0	8.0	8.0	8.0	8.0	6.0	8.0	8.0	8.0	8.0	9.0	7.0	7.0	7.0	8.0
ABCC11	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ABCC12	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ABCC13	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
ABCC2	3.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	2.0	3.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0
ABCC3	6.0	9.0	7.0	6.0	9.0	8.0	6.0	6.0	6.0	1.0	1.0	1.0	8.0	7.0	7.0	9.0	8.0	1.0
ABCC4	4.0	5.0	6.0	7.0	5.0	4.0	5.0	4.0	6.0	6.0	6.0	5.0	7.0	6.0	7.0	6.0	5.0	6.0
ABCC5	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	8.0	8.0	7.0	8.0	9.0	7.0	8.0	7.0	7.0
ABCC6	3.0	3.0	3.0	3.0	3.0	4.0	3.0	3.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	4.0	1.0
ABCC8	5.0	5.0	4.0	4.0	5.0	5.0	5.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ABCC9	2.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	8.0	1.0	1.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0
ABCD1	7.0	8.0	6.0	6.0	8.0	8.0	6.0	7.0	7.0	6.0	5.0	7.0	7.0	9.0	7.0	8.0	6.0	7.0
ABCD2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	6.0	7.0	7.0	1.0	6.0	1.0	1.0	1.0	1.0	2.0
ABCD3	7.0	6.0	8.0	8.0	7.0	7.0	8.0	7.0	8.0	8.0	8.0	7.0	7.0	7.0	8.0	9.0	8.0	8.0
ABCD4	7.0	6.0	6.0	5.0	6.0	6.0	6.0	7.0	8.0	9.0	9.0	9.0	8.0	9.0	8.0	8.0	8.0	9.0
ABCE1	9.0	8.0	9.0	9.0	9.0	8.0	9.0	9.0	9.0	9.0	9.0	9.0	8.0	6.0	10.0	9.0	8.0	8.0
ABCF1	10.0	9.0	9.0	10.0	10.0	9.0	10.0	10.0	8.0	9.0	9.0	8.0	9.0	8.0	8.0	9.0	9.0	9.0
ABCF2	6.0	6.0	7.0	7.0	6.0	6.0	7.0	7.0	9.0	8.0	8.0	8.0	8.0	7.0	9.0	8.0	7.0	8.0
ABCF3	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	9.0	9.0	9.0	9.0	8.0	9.0	9.0	9.0	9.0	9.0
ABCG1	5.0	6.0	3.0	3.0	6.0	5.0	5.0	7.0	5.0	8.0	8.0	5.0	9.0	9.0	1.0	6.0	6.0	7.0
ABCG2	3.0	8.0	3.0	5.0	6.0	4.0	4.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	6.0	1.0	1.0
ABCG4	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ABCG5	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ABCG8	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ABHD1	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ABHD10	9.0	9.0	8.0	9.0	9.0	8.0	8.0	9.0	7.0	8.0	8.0	8.0	8.0	8.0	8.0	9.0	7.0	8.0
ABHD11	5.0	5.0	5.0	6.0	5.0	5.0	5.0	4.0	6.0	6.0	6.0	7.0	6.0	8.0	7.0	7.0	6.0	7.0
ABHD11-AS1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	6.0	1.0	1.0	1.0	1.0	1.0
ABHD12	6.0	9.0	8.0	8.0	9.0	8.0	7.0	6.0	8.0	7.0	8.0	8.0	9.0	8.0	9.0	10.0	7.0	8.0
ABHD12B	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0
ABHD13	4.0	4.0	4.0	4.0	5.0	5.0	7.0	5.0	6.0	8.0	8.0	7.0	7.0	7.0	6.0	7.0	8.0	8.0
ABHD14A	7.0	7.0	8.0	7.0	7.0	6.0	7.0	8.0	7.0	6.0	7.0	8.0	5.0	5.0	7.0	6.0	5.0	8.0
