	Bcell_HPCA	DC_HPCA	Fibroblasts_HPCA	MSC_HPCA	Macrophage_HPCA	Monocyte_HPCA	NK cells_HPCA	Tcell_HPCA	Adipocytes_ENCODE	CD4+ Tcell_ENCODE	CD8+ T-cells_ENCODE	Bcell_ENCODE	DC_ENCODE	Eosinophils_ENCODE	Fibroblasts_ENCODE	Macrophage_ENCODE	Monocyte_ENCODE	NK cells_ENCODE
CHD5	3.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CHD6	5.0	5.0	5.0	5.0	4.0	5.0	6.0	6.0	8.0	10.0	9.0	8.0	10.0	9.0	7.0	8.0	9.0	9.0
CHD7	9.0	6.0	4.0	5.0	7.0	6.0	7.0	8.0	7.0	9.0	8.0	8.0	7.0	10.0	4.0	6.0	7.0	7.0
CHD8	9.0	8.0	8.0	8.0	8.0	8.0	9.0	9.0	9.0	10.0	10.0	9.0	9.0	9.0	9.0	9.0	9.0	10.0
CHD9	9.0	8.0	8.0	8.0	9.0	8.0	9.0	8.0	9.0	8.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
CHDH	4.0	4.0	3.0	3.0	4.0	4.0	3.0	4.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	2.0	1.0	1.0
CHEK1	6.0	4.0	6.0	8.0	4.0	3.0	6.0	4.0	4.0	6.0	6.0	5.0	6.0	6.0	8.0	7.0	3.0	6.0
CHEK2	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.0	7.0	6.0	8.0	7.0	6.0	7.0	7.0	7.0	7.0
CHERP	7.0	7.0	7.0	6.0	7.0	7.0	7.0	7.0	6.0	7.0	6.0	8.0	6.0	9.0	6.0	5.0	7.0	7.0
CHFR	8.0	9.0	8.0	8.0	9.0	9.0	9.0	9.0	8.0	9.0	9.0	9.0	10.0	10.0	8.0	9.0	9.0	9.0
CHGA	3.0	3.0	3.0	3.0	4.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CHGB	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CHI3L1	3.0	8.0	7.0	5.0	9.0	5.0	2.0	3.0	8.0	1.0	4.0	1.0	9.0	9.0	4.0	10.0	5.0	1.0
CHI3L2	9.0	6.0	4.0	4.0	5.0	5.0	6.0	7.0	5.0	8.0	9.0	8.0	7.0	6.0	3.0	6.0	5.0	7.0
CHIA	4.0	4.0	3.0	2.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CHIAP2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
CHIC1	3.0	2.0	2.0	4.0	2.0	2.0	4.0	3.0	6.0	7.0	7.0	7.0	1.0	1.0	6.0	1.0	1.0	7.0
CHIC2	8.0	9.0	10.0	9.0	9.0	9.0	10.0	9.0	8.0	9.0	9.0	8.0	8.0	9.0	9.0	8.0	9.0	9.0
CHID1	8.0	9.0	9.0	9.0	9.0	8.0	7.0	8.0	9.0	8.0	8.0	9.0	7.0	8.0	9.0	9.0	8.0	8.0
CHIT1	3.0	3.0	3.0	2.0	8.0	3.0	3.0	3.0	3.0	1.0	5.0	5.0	7.0	8.0	1.0	9.0	6.0	1.0
CHKA	7.0	8.0	6.0	6.0	8.0	7.0	7.0	6.0	8.0	5.0	5.0	7.0	8.0	9.0	6.0	9.0	9.0	7.0
CHKB	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	8.0	10.0	10.0	10.0	10.0	10.0	8.0	9.0	9.0	10.0
CHKB-AS1	6.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
CHKB-CPT1B	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	3.0	7.0	6.0	6.0	6.0	8.0	1.0	4.0	5.0	6.0
CHL1	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	7.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0
CHL1-AS1	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
CHM	4.0	5.0	5.0	5.0	5.0	4.0	4.0	4.0	7.0	7.0	7.0	7.0	8.0	6.0	7.0	8.0	6.0	7.0
CHML	4.0	3.0	5.0	6.0	4.0	4.0	5.0	4.0	5.0	7.0	7.0	4.0	6.0	6.0	5.0	6.0	6.0	6.0
CHMP1A	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	8.0	8.0	9.0	9.0	10.0	10.0	9.0	9.0	9.0
CHMP1B	9.0	9.0	9.0	9.0	9.0	10.0	9.0	9.0	8.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	10.0	9.0
CHMP2A	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	9.0	9.0	9.0	9.0	9.0	10.0	10.0	10.0	9.0
CHMP2B	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	9.0	9.0	8.0
CHMP3	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	9.0	9.0	9.0	9.0	9.0	10.0	9.0	10.0	9.0	8.0
CHMP4A	10.0	10.0	9.0	9.0	10.0	10.0	10.0	10.0	9.0	10.0	10.0	10.0	10.0	9.0	8.0	9.0	9.0	10.0
CHMP4B	10.0	10.0	10.0	10.0	10.0	10.0	10.0	9.0	9.0	8.0	9.0	9.0	9.0	8.0	8.0	9.0	9.0	9.0
CHMP4C	2.0	2.0	2.0	2.0	4.0	2.0	2.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0
CHMP5	9.0	10.0	10.0	9.0	10.0	10.0	9.0	9.0	9.0	8.0	8.0	8.0	10.0	7.0	9.0	10.0	9.0	8.0
CHMP6	7.0	8.0	8.0	8.0	8.0	8.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	9.0	7.0	7.0	7.0	7.0
CHMP7	9.0	8.0	8.0	8.0	8.0	8.0	7.0	9.0	8.0	10.0	10.0	10.0	8.0	9.0	9.0	8.0	8.0	8.0
CHN1	5.0	5.0	9.0	9.0	5.0	5.0	5.0	6.0	6.0	4.0	3.0	1.0	1.0	1.0	8.0	1.0	1.0	1.0
CHN2	4.0	7.0	5.0	3.0	6.0	7.0	7.0	5.0	5.0	1.0	4.0	1.0	7.0	6.0	1.0	8.0	9.0	8.0
CHODL	4.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CHODL-AS1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CHORDC1	7.0	5.0	5.0	6.0	5.0	5.0	8.0	7.0	9.0	9.0	9.0	9.0	9.0	8.0	8.0	8.0	9.0	9.0
CHP1	7.0	9.0	8.0	8.0	8.0	9.0	8.0	7.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
CHP2	4.0	4.0	4.0	3.0	4.0	4.0	4.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CHPF	7.0	6.0	8.0	8.0	6.0	6.0	6.0	7.0	8.0	2.0	4.0	5.0	6.0	7.0	10.0	2.0	1.0	7.0
CHPF2	8.0	8.0	9.0	9.0	9.0	9.0	9.0	8.0	8.0	8.0	8.0	9.0	8.0	10.0	9.0	8.0	7.0	9.0
CHPT1	7.0	8.0	9.0	9.0	9.0	9.0	8.0	8.0	9.0	7.0	6.0	8.0	6.0	10.0	8.0	9.0	9.0	6.0
CHRAC1	9.0	7.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	7.0	7.0	8.0	7.0	6.0	8.0	7.0	8.0	7.0
CHRD	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0
CHRDL1	3.0	3.0	8.0	4.0	2.0	3.0	3.0	3.0	9.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0
CHRDL2	4.0	3.0	4.0	3.0	4.0	3.0	4.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CHRFAM7A	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	2.0	1.0	1.0	1.0	8.0	9.0	1.0	5.0	6.0	4.0
CHRM1	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CHRM2	2.0	2.0	2.0	4.0	2.0	2.0	2.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0
CHRM3	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CHRM4	4.0	4.0	4.0	4.0	4.0	4.0	5.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CHRM5	2.0	3.0	2.0	2.0	2.0	3.0	2.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CHRNA1	3.0	3.0	2.0	4.0	3.0	3.0	2.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CHRNA10	5.0	5.0	4.0	4.0	5.0	5.0	5.0	5.0	1.0	1.0	1.0	1.0	5.0	6.0	1.0	1.0	2.0	1.0
CHRNA2	7.0	7.0	6.0	5.0	6.0	7.0	6.0	7.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CHRNA3	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CHRNA4	4.0	3.0	3.0	3.0	4.0	4.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CHRNA5	2.0	2.0	2.0	4.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CHRNA6	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CHRNA7	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	5.0	6.0	1.0	1.0	1.0	1.0
CHRNA9	2.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CHRNB1	4.0	5.0	5.0	5.0	5.0	5.0	6.0	4.0	4.0	6.0	7.0	6.0	6.0	6.0	6.0	6.0	6.0	7.0
CHRNB2	7.0	6.0	6.0	6.0	6.0	7.0	6.0	7.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CHRNB3	2.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CHRNB4	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CHRND	3.0	3.0	3.0	2.0	4.0	4.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CHRNE	4.0	5.0	5.0	4.0	5.0	5.0	4.0	4.0	1.0	1.0	1.0	3.0	5.0	6.0	1.0	3.0	4.0	6.0
CHRNG	6.0	6.0	5.0	5.0	6.0	6.0	6.0	6.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CHST1	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0
CHST10	7.0	5.0	6.0	6.0	5.0	6.0	7.0	6.0	4.0	1.0	6.0	5.0	1.0	1.0	6.0	2.0	1.0	7.0
CHST11	8.0	10.0	6.0	6.0	10.0	9.0	9.0	8.0	6.0	7.0	8.0	8.0	9.0	10.0	6.0	9.0	9.0	8.0
CHST12	7.0	7.0	8.0	8.0	7.0	7.0	10.0	8.0	4.0	5.0	6.0	8.0	6.0	10.0	5.0	6.0	4.0	9.0
CHST13	2.0	5.0	3.0	3.0	6.0	6.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	8.0	1.0	4.0	4.0	1.0
CHST14	8.0	7.0	9.0	8.0	7.0	8.0	8.0	8.0	6.0	5.0	5.0	6.0	6.0	7.0	7.0	3.0	3.0	7.0
CHST15	6.0	6.0	5.0	4.0	6.0	7.0	4.0	5.0	8.0	1.0	2.0	8.0	6.0	9.0	5.0	8.0	9.0	1.0
CHST2	5.0	5.0	5.0	5.0	5.0	6.0	7.0	5.0	5.0	3.0	4.0	8.0	6.0	7.0	7.0	5.0	6.0	10.0
CHST3	5.0	5.0	7.0	6.0	4.0	5.0	4.0	5.0	7.0	1.0	1.0	1.0	7.0	1.0	8.0	1.0	1.0	1.0
CHST4	4.0	4.0	3.0	3.0	3.0	4.0	3.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CHST5	6.0	6.0	5.0	5.0	6.0	6.0	5.0	6.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CHST6	4.0	4.0	4.0	4.0	5.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CHST7	4.0	9.0	7.0	7.0	8.0	8.0	7.0	6.0	8.0	2.0	3.0	1.0	9.0	1.0	7.0	7.0	6.0	7.0
CHST8	6.0	6.0	6.0	6.0	6.0	7.0	6.0	6.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CHST9	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CHSY1	9.0	10.0	10.0	10.0	9.0	10.0	10.0	9.0	8.0	7.0	8.0	7.0	7.0	9.0	8.0	7.0	9.0	8.0
CHSY3	2.0	3.0	6.0	7.0	3.0	3.0	3.0	2.0	4.0	1.0	1.0	1.0	1.0	1.0	5.0	1.0	1.0	6.0
CHTF18	7.0	5.0	5.0	7.0	6.0	6.0	7.0	6.0	5.0	7.0	7.0	7.0	6.0	9.0	6.0	5.0	5.0	7.0
CHTF8	10.0	10.0	10.0	10.0	10.0	10.0	9.0	10.0	9.0	8.0	8.0	9.0	10.0	9.0	9.0	9.0	8.0	8.0
CHTOP	10.0	9.0	9.0	10.0	9.0	9.0	10.0	10.0	9.0	10.0	9.0	10.0	8.0	9.0	8.0	9.0	9.0	9.0
CHUK	7.0	8.0	7.0	7.0	8.0	7.0	8.0	7.0	7.0	8.0	8.0	7.0	9.0	7.0	7.0	9.0	8.0	8.0
CHURC1	9.0	9.0	9.0	8.0	9.0	9.0	9.0	9.0	9.0	10.0	10.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
CHURC1-FNTB	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	2.0	3.0	1.0
CIAO1	8.0	8.0	8.0	8.0	9.0	8.0	9.0	9.0	10.0	9.0	9.0	9.0	9.0	9.0	10.0	9.0	8.0	9.0
CIAPIN1	8.0	8.0	9.0	9.0	8.0	8.0	8.0	9.0	8.0	8.0	9.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0
CIART	3.0	4.0	7.0	5.0	4.0	4.0	4.0	4.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
CIB1	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	8.0	9.0	10.0	9.0	9.0	9.0	8.0	9.0	9.0	10.0
CIB2	6.0	5.0	6.0	6.0	5.0	6.0	5.0	6.0	3.0	2.0	3.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0
CIB3	5.0	6.0	5.0	5.0	5.0	6.0	5.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CIB4	2.0	3.0	2.0	2.0	3.0	2.0	2.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CIC	9.0	8.0	8.0	8.0	8.0	9.0	8.0	9.0	7.0	8.0	7.0	8.0	8.0	10.0	8.0	6.0	6.0	7.0
CIDEA	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	8.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CIDEB	7.0	7.0	5.0	5.0	7.0	8.0	7.0	8.0	4.0	6.0	7.0	7.0	1.0	8.0	2.0	4.0	8.0	8.0
CIDEC	5.0	4.0	4.0	4.0	5.0	5.0	4.0	4.0	9.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0
CIITA	5.0	5.0	4.0	4.0	4.0	5.0	4.0	4.0	4.0	1.0	3.0	8.0	9.0	10.0	1.0	6.0	8.0	1.0
CILP	6.0	5.0	5.0	4.0	5.0	6.0	5.0	6.0	7.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0
CILP2	2.0	3.0	2.0	2.0	2.0	3.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CINP	8.0	9.0	9.0	9.0	9.0	8.0	8.0	8.0	8.0	7.0	8.0	8.0	8.0	8.0	9.0	9.0	8.0	8.0
CIPC	7.0	8.0	7.0	6.0	8.0	6.0	7.0	6.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
CIR1	8.0	8.0	7.0	7.0	9.0	8.0	9.0	8.0	7.0	9.0	9.0	9.0	9.0	9.0	7.0	9.0	9.0	9.0
CIRBP	9.0	8.0	8.0	8.0	8.0	8.0	9.0	9.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0
CIRBP-AS1	6.0	6.0	5.0	5.0	6.0	6.0	6.0	6.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0
CISD1	9.0	9.0	10.0	10.0	9.0	9.0	8.0	9.0	7.0	6.0	7.0	6.0	6.0	1.0	8.0	8.0	5.0	6.0
CISD2	6.0	5.0	5.0	5.0	5.0	5.0	6.0	5.0	6.0	7.0	7.0	8.0	8.0	8.0	8.0	9.0	8.0	7.0
CISD3	6.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	6.0	5.0	7.0	6.0	7.0	5.0	6.0	7.0	7.0	8.0
CISH	6.0	10.0	6.0	6.0	8.0	8.0	9.0	9.0	5.0	7.0	7.0	1.0	10.0	8.0	2.0	6.0	5.0	4.0
CIT	7.0	6.0	7.0	8.0	5.0	6.0	6.0	7.0	4.0	1.0	3.0	1.0	1.0	6.0	6.0	2.0	1.0	1.0
CITED1	6.0	6.0	6.0	6.0	6.0	6.0	5.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CITED2	7.0	10.0	10.0	10.0	10.0	9.0	8.0	7.0	10.0	9.0	9.0	9.0	9.0	9.0	10.0	9.0	9.0	9.0
CITED4	6.0	7.0	6.0	6.0	6.0	7.0	6.0	7.0	4.0	6.0	3.0	1.0	1.0	7.0	3.0	1.0	5.0	1.0
CIZ1	7.0	8.0	8.0	9.0	8.0	8.0	8.0	7.0	9.0	9.0	9.0	9.0	8.0	8.0	9.0	8.0	9.0	9.0
CKAP2	5.0	4.0	5.0	5.0	3.0	4.0	5.0	4.0	6.0	7.0	8.0	7.0	7.0	6.0	7.0	7.0	8.0	6.0
CKAP2L	6.0	4.0	6.0	8.0	4.0	4.0	5.0	5.0	2.0	1.0	1.0	1.0	1.0	1.0	4.0	2.0	1.0	1.0
CKAP4	8.0	8.0	10.0	10.0	9.0	9.0	7.0	8.0	8.0	6.0	4.0	8.0	6.0	9.0	10.0	8.0	9.0	1.0
CKAP5	9.0	9.0	9.0	10.0	9.0	8.0	8.0	8.0	8.0	8.0	8.0	7.0	9.0	7.0	9.0	9.0	7.0	8.0
CKB	7.0	9.0	8.0	8.0	7.0	8.0	7.0	6.0	9.0	1.0	3.0	3.0	10.0	9.0	8.0	4.0	7.0	2.0
CKLF	9.0	10.0	8.0	9.0	10.0	10.0	10.0	10.0	8.0	9.0	9.0	8.0	9.0	10.0	9.0	10.0	10.0	10.0
CKLF-CMTM1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	2.0	1.0	4.0	1.0	5.0	9.0	4.0	4.0	6.0	6.0
CKM	3.0	3.0	3.0	3.0	4.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CKMT1A	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CKMT1B	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CKMT2	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CKMT2-AS1	6.0	3.0	4.0	4.0	3.0	3.0	4.0	5.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
CKS1B	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	9.0	7.0	7.0	8.0	7.0	6.0	9.0	8.0	7.0	7.0
CKS2	10.0	9.0	10.0	10.0	9.0	8.0	9.0	8.0	7.0	5.0	8.0	8.0	8.0	6.0	9.0	8.0	8.0	8.0
CLASP1	8.0	8.0	9.0	9.0	8.0	8.0	9.0	9.0	9.0	9.0	9.0	8.0	9.0	9.0	8.0	8.0	8.0	9.0
CLASP2	7.0	8.0	6.0	7.0	7.0	7.0	8.0	7.0	9.0	9.0	9.0	9.0	9.0	9.0	8.0	9.0	9.0	9.0
CLASRP	9.0	9.0	8.0	8.0	9.0	9.0	8.0	9.0	8.0	9.0	9.0	10.0	9.0	10.0	8.0	8.0	9.0	8.0
CLC	3.0	6.0	2.0	1.0	3.0	6.0	4.0	5.0	1.0	1.0	3.0	1.0	10.0	10.0	1.0	4.0	5.0	1.0
CLCA1	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CLCA2	1.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0
CLCA3P	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
CLCA4	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CLCC1	7.0	7.0	8.0	8.0	7.0	6.0	6.0	5.0	7.0	6.0	6.0	8.0	8.0	7.0	8.0	8.0	7.0	7.0
CLCF1	8.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	5.0	1.0	3.0	7.0	1.0	8.0	6.0	4.0	7.0	4.0
CLCN1	6.0	6.0	5.0	5.0	5.0	6.0	5.0	6.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CLCN2	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	2.0	2.0	1.0	2.0	1.0	6.0	2.0	1.0	1.0	1.0
CLCN3	8.0	8.0	8.0	8.0	9.0	7.0	8.0	7.0	8.0	7.0	8.0	7.0	8.0	7.0	8.0	9.0	8.0	7.0
CLCN4	5.0	4.0	3.0	5.0	4.0	3.0	3.0	3.0	1.0	1.0	1.0	5.0	1.0	1.0	4.0	2.0	1.0	1.0
CLCN5	3.0	5.0	4.0	5.0	5.0	4.0	4.0	3.0	5.0	3.0	1.0	1.0	6.0	1.0	5.0	7.0	5.0	1.0
CLCN6	7.0	7.0	6.0	6.0	7.0	7.0	6.0	6.0	7.0	6.0	6.0	7.0	7.0	7.0	7.0	7.0	8.0	6.0
CLCN7	7.0	8.0	7.0	6.0	9.0	8.0	7.0	7.0	9.0	8.0	8.0	9.0	9.0	10.0	9.0	9.0	7.0	8.0
CLCNKA	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CLCNKB	7.0	7.0	6.0	6.0	6.0	7.0	6.0	7.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CLDN1	2.0	4.0	2.0	5.0	2.0	2.0	2.0	2.0	4.0	2.0	2.0	1.0	7.0	1.0	1.0	1.0	1.0	1.0
CLDN10	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CLDN10-AS1	2.0	3.0	2.0	2.0	2.0	3.0	3.0	3.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
CLDN11	3.0	3.0	7.0	7.0	3.0	3.0	3.0	3.0	7.0	1.0	1.0	1.0	1.0	1.0	10.0	1.0	1.0	1.0
CLDN12	4.0	6.0	8.0	8.0	7.0	4.0	3.0	4.0	7.0	1.0	4.0	4.0	6.0	1.0	8.0	7.0	2.0	1.0
CLDN14	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0
CLDN15	8.0	8.0	7.0	6.0	8.0	8.0	8.0	8.0	7.0	7.0	7.0	7.0	6.0	8.0	4.0	5.0	4.0	7.0
CLDN16	6.0	6.0	5.0	5.0	5.0	6.0	6.0	6.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CLDN17	6.0	5.0	5.0	4.0	5.0	6.0	5.0	6.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CLDN18	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CLDN19	6.0	6.0	5.0	5.0	6.0	6.0	6.0	6.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CLDN2	3.0	4.0	4.0	3.0	4.0	4.0	3.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CLDN20	2.0	2.0	1.0	1.0	1.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CLDN22	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CLDN23	2.0	6.0	4.0	2.0	7.0	3.0	1.0	1.0	5.0	1.0	1.0	1.0	6.0	1.0	3.0	7.0	2.0	1.0
