,Bcell_HPCA,DC_HPCA,Fibroblasts_HPCA,MSC_HPCA,Macrophage_HPCA,Monocyte_HPCA,NK cells_HPCA,Tcell_HPCA,Adipocytes_ENCODE,CD4+ Tcell_ENCODE,CD8+ T-cells_ENCODE,Bcell_ENCODE,DC_ENCODE,Eosinophils_ENCODE,Fibroblasts_ENCODE,Macrophage_ENCODE,Monocyte_ENCODE,NK cells_ENCODE
SLC2A3,9,10,9,8,9,10,10,10,10,10,10,9,8,10,9,9,10,10
HLA-F,10,10,10,9,10,10,10,10,8,10,10,10,10,10,4,10,10,10
VASP,9,10,9,9,10,10,10,9,9,9,10,9,9,10,9,10,10,10
TRIM22,10,10,10,8,10,10,10,10,9,10,10,7,9,10,9,9,10,10
MVP,8,10,9,10,10,9,9,9,10,10,10,9,10,10,10,10,9,10
RNASET2,10,10,9,9,10,10,10,10,9,10,10,10,8,10,8,10,10,9
TCIRG1,9,10,9,9,10,10,10,9,10,9,9,10,10,10,9,10,10,10
MGAT1,9,10,9,9,10,10,9,9,10,9,9,10,10,10,10,10,10,10
IFITM2,10,9,10,10,9,10,10,10,10,10,10,9,9,10,10,7,10,10
IL10RB,8,10,9,8,10,10,8,8,8,7,8,8,9,9,9,10,9,8
PSMB8,10,10,9,8,10,10,10,10,8,10,10,10,10,10,9,10,10,10
IER5,10,10,9,10,10,10,10,9,6,6,7,8,10,9,8,8,9,9
COTL1,10,10,10,10,10,10,10,10,9,10,10,9,10,10,10,10,10,8
LITAF,10,10,10,9,10,10,10,10,9,10,10,9,10,10,9,10,10,10
S100A4,8,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10
TXNIP,10,10,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10
SRGN,10,10,9,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10
CYBA,10,10,10,9,10,10,10,9,10,10,10,10,10,10,10,10,10,10
CD44,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
MSN,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
SDCBP,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10
HLA-E,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10
HLA-A,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
ARPC1B,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
B2M,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
HLA-C,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
HLA-B,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
PSME1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
PSMB9,10,10,8,7,10,10,10,10,7,10,10,10,10,9,7,9,9,10
STOM,7,10,10,10,10,10,10,9,10,7,9,6,10,9,10,10,9,10
NECAP2,9,10,9,9,10,10,9,10,9,10,10,9,10,9,9,10,9,9
IFNGR1,9,10,10,9,10,10,10,9,10,8,9,8,10,9,9,10,10,10
UBE2L6,10,10,9,8,10,10,10,10,9,9,10,9,9,9,9,10,10,10
TNFAIP8,10,10,9,9,10,10,10,10,9,10,10,10,10,9,7,9,9,10
TANK,9,10,9,9,10,10,10,9,10,10,10,10,10,9,9,10,10,9
IFITM3,-1,-1,-1,-1,-1,-1,-1,-1,10,6,8,3,8,10,10,7,10,8
GPX1,-1,-1,-1,-1,-1,-1,-1,-1,10,9,9,10,10,10,10,10,10,9
VOPP1,-1,-1,-1,-1,-1,-1,-1,-1,9,10,9,10,10,9,9,10,9,10
